Soil,State,District,Season,water,crop
alluvial soil,Andaman and Nicobar Islands,NICOBARS,Autumn,high,Rice
alluvial soil,Andaman and Nicobar Islands,NICOBARS,Kharif,high,Rice
alluvial soil,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Autumn,high,Rice
alluvial soil,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif,high,Rice
alluvial soil,Andaman and Nicobar Islands,SOUTH ANDAMANS,Autumn,high,Rice
alluvial soil,Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif,high,Rice
alluvial soil,Andhra Pradesh,ANANTAPUR,Kharif,high,Rice
alluvial soil,Andhra Pradesh,ANANTAPUR,Kharif,medium,Masoor
alluvial soil,Andhra Pradesh,ANANTAPUR,Rabi,high,Rice
alluvial soil,Andhra Pradesh,ANANTAPUR,Rabi,medium,Masoor
alluvial soil,Andhra Pradesh,ANANTAPUR,Whole Year,high,Rice
alluvial soil,Andhra Pradesh,CHITTOOR,Kharif,high,Rice
alluvial soil,Andhra Pradesh,CHITTOOR,Kharif,medium,Masoor
alluvial soil,Andhra Pradesh,CHITTOOR,Rabi,high,Rice
alluvial soil,Andhra Pradesh,CHITTOOR,Whole Year,high,Rice
alluvial soil,Andhra Pradesh,EAST GODAVARI,Kharif,high,Rice
alluvial soil,Andhra Pradesh,EAST GODAVARI,Kharif,medium,Masoor
alluvial soil,Andhra Pradesh,EAST GODAVARI,Rabi,high,Rice
alluvial soil,Andhra Pradesh,EAST GODAVARI,Whole Year,high,Rice
alluvial soil,Andhra Pradesh,GUNTUR,Kharif,high,Rice
alluvial soil,Andhra Pradesh,GUNTUR,Kharif,medium,Masoor
alluvial soil,Andhra Pradesh,GUNTUR,Rabi,high,Rice
alluvial soil,Andhra Pradesh,GUNTUR,Rabi,medium,Masoor
alluvial soil,Andhra Pradesh,GUNTUR,Whole Year,high,Rice
alluvial soil,Andhra Pradesh,KADAPA,Kharif,high,Rice
alluvial soil,Andhra Pradesh,KADAPA,Kharif,medium,Masoor
alluvial soil,Andhra Pradesh,KADAPA,Rabi,high,Rice
alluvial soil,Andhra Pradesh,KADAPA,Rabi,medium,Masoor
alluvial soil,Andhra Pradesh,KADAPA,Whole Year,high,Rice
alluvial soil,Andhra Pradesh,KRISHNA,Kharif,high,Rice
alluvial soil,Andhra Pradesh,KRISHNA,Kharif,medium,Masoor
alluvial soil,Andhra Pradesh,KRISHNA,Rabi,high,Rice
alluvial soil,Andhra Pradesh,KRISHNA,Whole Year,high,Rice
alluvial soil,Andhra Pradesh,KURNOOL,Kharif,high,Rice
alluvial soil,Andhra Pradesh,KURNOOL,Kharif,medium,Masoor
alluvial soil,Andhra Pradesh,KURNOOL,Rabi,high,Rice
alluvial soil,Andhra Pradesh,KURNOOL,Rabi,medium,Masoor
alluvial soil,Andhra Pradesh,KURNOOL,Whole Year,high,Rice
alluvial soil,Andhra Pradesh,PRAKASAM,Kharif,high,Rice
alluvial soil,Andhra Pradesh,PRAKASAM,Kharif,medium,Masoor
